,Achromobacter,Actinomyces,Atopobium,Bacteroides,Bacteroidetes,Bulleidia,Campylobacter,Centipeda,Clostridiales,Clostridium,Comamonas,Delftia,Eubacterium,Filifactor,Fusobacterium,Gemella,Granulicatella,Haemophilus,Lactobacillus,Leptotrichia,Megasphaera,Mogibacterium,Neisseria,Paenibacillus,Peptostreptococcus,Porphyromonas,Prevotella,Rothia,Selenomonas,Shewanella,Streptococcus,Tennerella,TM7,Veillonella,Yersinia
Achromobacter,0,1,1,1,2,1,1,4,1,1,4,3,3,2,0,1,1,1,3,3,1,2,1,2,2,1,1,1,3,2,1,2,1,1,2
Actinomyces,1,0,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Atopobium,1,2,0,2,1,2,2,1,2,2,1,2,2,3,3,2,2,2,2,2,2,1,2,1,3,2,2,2,2,3,2,1,2,2,1
Bacteroides,1,4,2,0,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Bacteroidetes,2,1,3,1,0,3,2,2,3,3,2,1,1,3,2,1,1,1,3,1,1,4,1,4,3,1,1,1,1,3,1,2,1,1,2
Bulleidia,1,4,2,4,1,0,1,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Campylobacter,1,2,2,2,3,2,0,1,2,2,1,0,0,1,3,2,2,2,2,0,2,3,2,3,1,2,2,2,0,1,2,3,2,2,3
Centipeda,4,1,1,1,2,1,1,0,1,1,4,3,3,2,0,1,1,1,3,3,1,2,1,2,2,1,1,1,3,2,1,2,1,1,2
Clostridiales,1,4,2,4,1,4,2,1,0,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Clostridium,1,4,2,4,1,4,2,1,4,0,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Comamonas,4,1,1,1,2,1,1,4,1,1,0,3,3,2,0,1,1,1,3,3,1,2,1,2,2,1,1,1,3,2,1,2,1,1,2
Delftia,3,2,2,2,1,2,0,3,2,2,3,0,4,3,1,2,2,2,2,4,2,1,2,1,3,2,2,2,4,3,2,1,2,2,1
Eubacterium,3,2,2,2,1,2,0,3,2,2,3,4,0,3,1,2,2,2,2,4,2,1,2,1,3,2,2,2,4,3,2,1,2,2,1
Filifactor,2,1,3,1,2,1,1,2,1,1,2,3,3,0,2,1,1,1,1,3,1,2,3,2,4,3,1,1,3,4,1,2,1,1,2
Fusobacterium,0,3,3,3,2,3,3,0,3,3,0,1,1,2,0,3,3,3,1,1,3,2,3,2,2,3,3,3,1,2,3,2,3,3,2
Gemella,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,0,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Granulicatella,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,0,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Haemophilus,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,0,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Lactobacillus,3,2,2,2,3,2,2,3,2,2,3,2,2,1,1,2,2,2,0,2,2,3,0,3,1,0,2,2,2,1,2,1,2,2,1
Leptotrichia,3,2,2,2,1,2,0,3,2,2,3,4,4,3,1,2,2,2,2,0,2,1,2,1,3,2,2,2,4,3,2,1,2,2,1
Megasphaera,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,0,1,2,1,1,2,4,4,2,1,4,0,4,4,0
Mogibacterium,2,1,3,1,4,1,2,2,1,1,2,1,1,2,2,1,1,1,3,1,1,0,1,4,2,1,1,1,1,2,1,2,1,1,2
Neisseria,1,2,2,2,1,2,2,1,2,2,1,2,2,3,3,2,2,2,0,2,2,1,0,1,3,4,2,2,2,3,2,3,2,2,3
Paenibacillus,2,1,3,1,4,1,3,2,1,1,2,1,1,2,2,1,1,1,3,1,1,4,1,0,2,1,1,1,1,2,1,2,1,1,2
Peptostreptococcus,2,1,3,1,2,1,1,2,1,1,2,3,3,4,2,1,1,1,1,3,1,2,3,2,0,3,1,1,3,4,1,2,1,1,2
Porphyromonas,1,2,2,2,1,2,2,1,2,2,1,2,2,3,3,2,2,2,0,2,2,1,4,1,3,0,2,2,2,3,2,3,2,2,3
Prevotella,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,0,4,2,1,4,0,4,4,0
Rothia,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,0,2,1,4,0,4,4,0
Selenomonas,3,2,2,2,1,2,0,3,2,2,3,4,4,3,1,2,2,2,2,4,2,1,2,1,3,2,2,2,0,3,2,1,2,2,1
Shewanella,2,1,3,1,2,1,1,2,1,1,2,3,3,4,2,1,1,1,1,3,1,2,3,2,4,3,1,1,3,0,1,2,1,1,2
Streptococcus,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,0,0,4,4,0
Tennerella,2,1,1,1,2,1,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,3,2,2,3,1,1,1,2,1,0,1,1,4
TM7,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,0,4,0
Veillonella,1,4,2,4,1,4,2,1,4,4,1,2,2,1,3,4,4,4,2,2,4,1,2,1,1,2,4,4,2,1,4,0,4,0,0
Yersinia,2,1,1,1,2,1,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,3,2,2,3,1,1,1,2,1,4,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
