"interaction","name","selected","shared interaction","shared name","source","target"
"interacts with","Achromobacter (interacts with) Achromobacter","false","interacts with","Achromobacter (interacts with) Achromobacter","Achromobacter","Achromobacter"
"interacts with","Achromobacter (interacts with) Actinomyces","false","interacts with","Achromobacter (interacts with) Actinomyces","Achromobacter","Actinomyces"
"interacts with","Achromobacter (interacts with) Atopobium","false","interacts with","Achromobacter (interacts with) Atopobium","Achromobacter","Atopobium"
"interacts with","Achromobacter (interacts with) Atopobium","false","interacts with","Achromobacter (interacts with) Atopobium","Achromobacter","Atopobium"
"interacts with","Achromobacter (interacts with) Bacteroides","false","interacts with","Achromobacter (interacts with) Bacteroides","Achromobacter","Bacteroides"
"interacts with","Achromobacter (interacts with) Bacteroides","false","interacts with","Achromobacter (interacts with) Bacteroides","Achromobacter","Bacteroides"
"interacts with","Achromobacter (interacts with) Bacteroides","false","interacts with","Achromobacter (interacts with) Bacteroides","Achromobacter","Bacteroides"
"interacts with","Achromobacter (interacts with) Bacteroides","false","interacts with","Achromobacter (interacts with) Bacteroides","Achromobacter","Bacteroides"
"interacts with","Achromobacter (interacts with) Bacteroidetes","false","interacts with","Achromobacter (interacts with) Bacteroidetes","Achromobacter","Bacteroidetes"
"interacts with","Achromobacter (interacts with) Bulleidia","false","interacts with","Achromobacter (interacts with) Bulleidia","Achromobacter","Bulleidia"
"interacts with","Achromobacter (interacts with) Bulleidia","false","interacts with","Achromobacter (interacts with) Bulleidia","Achromobacter","Bulleidia"
"interacts with","Achromobacter (interacts with) Bulleidia","false","interacts with","Achromobacter (interacts with) Bulleidia","Achromobacter","Bulleidia"
"interacts with","Achromobacter (interacts with) Bulleidia","false","interacts with","Achromobacter (interacts with) Bulleidia","Achromobacter","Bulleidia"
"interacts with","Achromobacter (interacts with) Campylobacter","false","interacts with","Achromobacter (interacts with) Campylobacter","Achromobacter","Campylobacter"
"interacts with","Achromobacter (interacts with) Campylobacter","false","interacts with","Achromobacter (interacts with) Campylobacter","Achromobacter","Campylobacter"
"interacts with","Achromobacter (interacts with) Campylobacter","false","interacts with","Achromobacter (interacts with) Campylobacter","Achromobacter","Campylobacter"
"interacts with","Achromobacter (interacts with) Campylobacter","false","interacts with","Achromobacter (interacts with) Campylobacter","Achromobacter","Campylobacter"
"interacts with","Achromobacter (interacts with) Centipeda","false","interacts with","Achromobacter (interacts with) Centipeda","Achromobacter","Centipeda"
"interacts with","Achromobacter (interacts with) Clostridiales","false","interacts with","Achromobacter (interacts with) Clostridiales","Achromobacter","Clostridiales"
"interacts with","Achromobacter (interacts with) Clostridiales","false","interacts with","Achromobacter (interacts with) Clostridiales","Achromobacter","Clostridiales"
"interacts with","Achromobacter (interacts with) Clostridiales","false","interacts with","Achromobacter (interacts with) Clostridiales","Achromobacter","Clostridiales"
"interacts with","Achromobacter (interacts with) Clostridiales","false","interacts with","Achromobacter (interacts with) Clostridiales","Achromobacter","Clostridiales"
"interacts with","Achromobacter (interacts with) Clostridium","false","interacts with","Achromobacter (interacts with) Clostridium","Achromobacter","Clostridium"
"interacts with","Achromobacter (interacts with) Clostridium","false","interacts with","Achromobacter (interacts with) Clostridium","Achromobacter","Clostridium"
"interacts with","Achromobacter (interacts with) Clostridium","false","interacts with","Achromobacter (interacts with) Clostridium","Achromobacter","Clostridium"
"interacts with","Achromobacter (interacts with) Clostridium","false","interacts with","Achromobacter (interacts with) Clostridium","Achromobacter","Clostridium"
"interacts with","Achromobacter (interacts with) Comamonas","false","interacts with","Achromobacter (interacts with) Comamonas","Achromobacter","Comamonas"
"interacts with","Achromobacter (interacts with) Comamonas","false","interacts with","Achromobacter (interacts with) Comamonas","Achromobacter","Comamonas"
"interacts with","Achromobacter (interacts with) Comamonas","false","interacts with","Achromobacter (interacts with) Comamonas","Achromobacter","Comamonas"
"interacts with","Achromobacter (interacts with) Delftia","false","interacts with","Achromobacter (interacts with) Delftia","Achromobacter","Delftia"
"interacts with","Achromobacter (interacts with) Delftia","false","interacts with","Achromobacter (interacts with) Delftia","Achromobacter","Delftia"
"interacts with","Achromobacter (interacts with) Delftia","false","interacts with","Achromobacter (interacts with) Delftia","Achromobacter","Delftia"
"interacts with","Achromobacter (interacts with) Eubacterium","false","interacts with","Achromobacter (interacts with) Eubacterium","Achromobacter","Eubacterium"
"interacts with","Achromobacter (interacts with) Eubacterium","false","interacts with","Achromobacter (interacts with) Eubacterium","Achromobacter","Eubacterium"
"interacts with","Achromobacter (interacts with) Filifactor","false","interacts with","Achromobacter (interacts with) Filifactor","Achromobacter","Filifactor"
"interacts with","Achromobacter (interacts with) Fusobacterium","false","interacts with","Achromobacter (interacts with) Fusobacterium","Achromobacter","Fusobacterium"
"interacts with","Achromobacter (interacts with) Fusobacterium","false","interacts with","Achromobacter (interacts with) Fusobacterium","Achromobacter","Fusobacterium"
"interacts with","Achromobacter (interacts with) Fusobacterium","false","interacts with","Achromobacter (interacts with) Fusobacterium","Achromobacter","Fusobacterium"
"interacts with","Achromobacter (interacts with) Gemella","false","interacts with","Achromobacter (interacts with) Gemella","Achromobacter","Gemella"
"interacts with","Achromobacter (interacts with) Gemella","false","interacts with","Achromobacter (interacts with) Gemella","Achromobacter","Gemella"
"interacts with","Achromobacter (interacts with) Gemella","false","interacts with","Achromobacter (interacts with) Gemella","Achromobacter","Gemella"
"interacts with","Achromobacter (interacts with) Gemella","false","interacts with","Achromobacter (interacts with) Gemella","Achromobacter","Gemella"
"interacts with","Achromobacter (interacts with) Granulicatella","false","interacts with","Achromobacter (interacts with) Granulicatella","Achromobacter","Granulicatella"
"interacts with","Achromobacter (interacts with) Granulicatella","false","interacts with","Achromobacter (interacts with) Granulicatella","Achromobacter","Granulicatella"
"interacts with","Achromobacter (interacts with) Granulicatella","false","interacts with","Achromobacter (interacts with) Granulicatella","Achromobacter","Granulicatella"
"interacts with","Achromobacter (interacts with) Granulicatella","false","interacts with","Achromobacter (interacts with) Granulicatella","Achromobacter","Granulicatella"
"interacts with","Achromobacter (interacts with) Haemophilus","false","interacts with","Achromobacter (interacts with) Haemophilus","Achromobacter","Haemophilus"
"interacts with","Achromobacter (interacts with) Haemophilus","false","interacts with","Achromobacter (interacts with) Haemophilus","Achromobacter","Haemophilus"
"interacts with","Achromobacter (interacts with) Haemophilus","false","interacts with","Achromobacter (interacts with) Haemophilus","Achromobacter","Haemophilus"
"interacts with","Achromobacter (interacts with) Haemophilus","false","interacts with","Achromobacter (interacts with) Haemophilus","Achromobacter","Haemophilus"
"interacts with","Achromobacter (interacts with) Lactobacillus","false","interacts with","Achromobacter (interacts with) Lactobacillus","Achromobacter","Lactobacillus"
"interacts with","Achromobacter (interacts with) Lactobacillus","false","interacts with","Achromobacter (interacts with) Lactobacillus","Achromobacter","Lactobacillus"
"interacts with","Achromobacter (interacts with) Lactobacillus","false","interacts with","Achromobacter (interacts with) Lactobacillus","Achromobacter","Lactobacillus"
"interacts with","Achromobacter (interacts with) Leptotrichia","false","interacts with","Achromobacter (interacts with) Leptotrichia","Achromobacter","Leptotrichia"
"interacts with","Achromobacter (interacts with) Leptotrichia","false","interacts with","Achromobacter (interacts with) Leptotrichia","Achromobacter","Leptotrichia"
"interacts with","Achromobacter (interacts with) Megasphaera","false","interacts with","Achromobacter (interacts with) Megasphaera","Achromobacter","Megasphaera"
"interacts with","Achromobacter (interacts with) Megasphaera","false","interacts with","Achromobacter (interacts with) Megasphaera","Achromobacter","Megasphaera"
"interacts with","Achromobacter (interacts with) Megasphaera","false","interacts with","Achromobacter (interacts with) Megasphaera","Achromobacter","Megasphaera"
"interacts with","Achromobacter (interacts with) Megasphaera","false","interacts with","Achromobacter (interacts with) Megasphaera","Achromobacter","Megasphaera"
"interacts with","Achromobacter (interacts with) Mogibacterium","false","interacts with","Achromobacter (interacts with) Mogibacterium","Achromobacter","Mogibacterium"
"interacts with","Achromobacter (interacts with) Neisseria","false","interacts with","Achromobacter (interacts with) Neisseria","Achromobacter","Neisseria"
"interacts with","Achromobacter (interacts with) Neisseria","false","interacts with","Achromobacter (interacts with) Neisseria","Achromobacter","Neisseria"
"interacts with","Achromobacter (interacts with) Paenibacillus","false","interacts with","Achromobacter (interacts with) Paenibacillus","Achromobacter","Paenibacillus"
"interacts with","Achromobacter (interacts with) Paenibacillus","false","interacts with","Achromobacter (interacts with) Paenibacillus","Achromobacter","Paenibacillus"
"interacts with","Achromobacter (interacts with) Peptostreptococcus","false","interacts with","Achromobacter (interacts with) Peptostreptococcus","Achromobacter","Peptostreptococcus"
"interacts with","Achromobacter (interacts with) Porphyromonas","false","interacts with","Achromobacter (interacts with) Porphyromonas","Achromobacter","Porphyromonas"
"interacts with","Achromobacter (interacts with) Porphyromonas","false","interacts with","Achromobacter (interacts with) Porphyromonas","Achromobacter","Porphyromonas"
"interacts with","Achromobacter (interacts with) Prevotella","false","interacts with","Achromobacter (interacts with) Prevotella","Achromobacter","Prevotella"
"interacts with","Achromobacter (interacts with) Prevotella","false","interacts with","Achromobacter (interacts with) Prevotella","Achromobacter","Prevotella"
"interacts with","Achromobacter (interacts with) Prevotella","false","interacts with","Achromobacter (interacts with) Prevotella","Achromobacter","Prevotella"
"interacts with","Achromobacter (interacts with) Prevotella","false","interacts with","Achromobacter (interacts with) Prevotella","Achromobacter","Prevotella"
"interacts with","Achromobacter (interacts with) Rothia","false","interacts with","Achromobacter (interacts with) Rothia","Achromobacter","Rothia"
