,Kingdom,Phylum,Class,Order,Family,Genus,Species
Achromobacter_piechaudii,Bacteria,Pseudomonadota,"	Betaproteobacteria",Burkholderiales,"	Alcaligenaceae",Achromobacter,Achromobacter_piechaudii
Actinomyces_graevenitzii,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_graevenitzii
Actinomyces_meyeri,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Actinomyces_meyeri
Actinomyces_odontolyticus,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Actinomyces_odontolyticus
Atopobium_parvulum,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Atopobium_parvulum
Atopobium_rimae,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Atopobium_rimae
Bulleidia_moorei,Bacteria,Actinobacteria,Erysipelotrichi,Erysipelotrichales,"	Erysipelotrichidae",Solobacterium,Bulleidia_moorei
Campylobacter_concisus,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_concisus
Campylobacter_showae,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_showae
Centipeda_periodontii,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Centipeda,Centipeda_periodontii
Comamonas_testosteroni,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_testosteroni
Delftia_acidovorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia_acidovorans
Eubacterium_sulsi,Bacteria,Firmicutes,Clostridia,Eubacteriales,NA,NA,Eubacterium_sulsi
Filifactor_alocis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Filifactor,Filifactor_alocis
Fusobacterium_naviforme,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_naviforme
Fusobacterium_nucleatum,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
Fusobacterium_simiae,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_simiae
Gemella_haemolysans,Bacteria,Firmicutes,Bacilli,Bacillales,NA,Gemella,Gemella_haemolysans
Gemella_morbillorum,Bacteria,Firmicutes,Bacilli,Bacillales,NA,Gemella,Gemella_morbillorum
Gemella_sanguinis,Bacteria,Firmicutes,Bacilli,Bacillales,NA,Gemella,Gemella_sanguinis
Granulicatella_adiacens,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_adiacens
Granulicatella_elegans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_elegans
Haemophilus_parainfluenzae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parainfluenzae
Haemophilus_paraphrophilus,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_paraphrophilus
Haemophilus_segnis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_segnis
Lactobacillus_delbrueckii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_delbrueckii
Lactobacillus_fermentum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus_fermentum
Lactobacillus_frumenti,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus_frumenti
Lactobacillus_gasseri,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus_gasseri
Lactobacillus_salivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Lactobacillus_salivarius
